Transaction_ID,Date,Time,Sender,Receiver,Amount,Fraudulent
T00001,2024-07-09,13:32:15,+260941693709,+260951153828,4391.88,No
T00002,2024-05-21,20:26:56,+260941208715,+260949157099,412.42,No
T00003,2024-01-12,21:15:11,+260957975159,+260941765977,4963.14,No
T00004,2024-01-04,15:48:07,+260928147796,+260992125604,1186.81,No
T00005,2024-02-05,20:40:08,+260930938681,+260941770762,2522.35,No
T00006,2024-01-11,06:35:33,+260993933885,+260974103106,2490.13,No
T00007,2024-01-24,02:34:46,+260938637113,+260979105264,1780.6,No
T00008,2024-05-18,06:36:12,+260942979952,+260944891076,3075.84,No
T00009,2024-06-26,03:43:33,+260933727798,+260947712262,19.95,No
T00010,2024-07-09,15:37:55,+260961535711,+260916448394,4819.3,No
T00011,2024-01-15,19:43:07,+260941575564,+260982414495,4316.13,No
T00012,2024-03-29,14:27:16,+260950869278,+260975652845,3773.31,No
T00013,2024-02-23,14:19:13,+260997093130,+260983370557,1705.63,No
T00014,2024-07-14,06:48:05,+260999157033,+260932093386,4372.96,No
T00015,2024-07-11,16:09:26,+260999204214,+260923331087,4296.42,No
T00016,2024-04-23,13:31:40,+260966110868,+260957154111,1480.95,No
T00017,2024-06-01,22:35:26,+260931020838,+260918160023,1941.23,No
T00018,2024-04-29,02:43:23,+260939449945,+260954411288,1021.04,No
T00019,2024-05-27,07:16:32,+260920776660,+260964422885,3095.62,No
T00020,2024-05-31,23:12:59,+260940430474,+260955317946,627.07,No
T00021,2024-02-18,09:12:30,+260978313397,+260980857502,4160.02,No
T00022,2024-07-11,22:48:54,+260951693046,+260951456286,1683.23,No
T00023,2024-03-24,18:37:38,+260989193586,+260995970074,3060.54,No
T00024,2024-02-09,16:19:21,+260971345309,+260917534809,830.67,No
T00025,2024-01-06,00:17:23,+260932924913,+260983637653,3445.69,No
T00026,2024-06-17,23:56:42,+260985426940,+260978542859,4054.99,No
T00027,2024-05-12,03:11:20,+260931370635,+260980505696,34.54,No
T00028,2024-07-11,05:11:54,+260923685344,+260925233785,3736.77,No
T00029,2024-01-20,05:37:55,+260920903052,+260926367204,373.98,No
T00030,2024-05-11,18:55:39,+260994950659,+260957214495,417.05,No
T00031,2024-03-27,02:42:39,+260956643740,+260992006126,4759.02,No
T00032,2024-06-24,00:27:26,+260935871491,+260997839037,2216.51,No
T00033,2024-01-25,09:44:24,+260912267811,+260948888440,1755.7,No
T00034,2024-04-17,06:33:44,+260972923224,+260932923085,976.47,No
T00035,2024-03-28,09:39:48,+260940943888,+260951370079,2171.39,No
T00036,2024-05-21,01:51:26,+260932472529,+260988733257,2280.24,No
T00037,2024-04-01,03:09:15,+260968768653,+260910982100,861.94,No
T00038,2024-02-01,07:02:31,+260939517068,+260944477021,2975.5,No
T00039,2024-01-04,06:39:52,+260910067811,+260918699604,4278.46,No
T00040,2024-01-27,03:06:43,+260977372338,+260977274904,99.45,No
T00041,2024-04-09,14:47:01,+260926691855,+260915468632,1269.28,No
T00042,2024-06-23,22:39:38,+260978476477,+260987618333,96.35,No
T00043,2024-02-08,01:59:17,+260945429271,+260918277442,1743.0,No
T00044,2024-07-16,04:34:49,+260947523440,+260911346301,3497.84,No
T00045,2024-01-13,19:29:27,+260982675207,+260934597918,1988.91,No
T00046,2024-02-19,15:50:34,+260952266301,+260958043601,860.62,No
T00047,2024-01-16,14:23:52,+260965000140,+260952405904,2042.48,No
T00048,2024-07-01,09:54:15,+260935867178,+260915738785,3378.75,No
