Transaction_ID,Date,Time,Sender,Receiver,Amount,Transaction_Type,Location,Merchant_ID,Device_ID,Fraudulent
T00001,2024-03-04,20:02:21,260964065025,260962371577,1121.16,Deposit,Lusaka,M4304,D9459,No
T00002,2024-02-05,14:14:42,260980915155,260963426939,994.13,Transfer,Kitwe,M9545,D9964,No
T00003,2024-03-21,23:22:16,260977871789,260979497358,841.33,Transfer,Lusaka,M8103,D3973,No
T00004,2024-05-19,05:02:04,260933587040,260949670990,2506.66,Transfer,Ndola,M5988,D4507,No
T00005,2024-06-28,01:35:47,260920961144,260953001249,4767.0,Withdrawal,Livingstone,M1699,D8055,No
T00006,2024-01-29,12:10:43,260957777276,260929749991,2954.46,Withdrawal,Livingstone,M5008,D2269,No
T00007,2024-05-25,20:02:59,260919890681,260999512237,3927.85,Withdrawal,Kitwe,M9893,D8627,No
T00008,2024-07-05,02:17:52,260977878552,260936836692,3374.92,Transfer,Kitwe,M8664,D8953,No
T00009,2024-03-25,03:58:16,260937918183,260998068663,1157.39,Transfer,Ndola,M1137,D2135,No
T00010,2024-05-25,08:18:38,260932764192,260986833593,2358.01,Deposit,Lusaka,M3784,D9689,No
T00011,2024-06-27,21:34:20,260942673244,260989701133,4595.88,Withdrawal,Lusaka,M1935,D1860,No
T00012,2024-02-23,06:48:31,260934315867,260911222296,2236.4,Transfer,Lusaka,M3956,D5868,No
T00013,2024-02-10,22:14:26,260938380587,260969846115,3501.2,Transfer,Lusaka,M7055,D1061,No
T00014,2024-04-22,05:41:28,260934395717,260993412529,2470.71,Transfer,Kitwe,M4323,D5316,No
T00015,2024-03-07,00:23:53,260961981877,260916989619,455.29,Transfer,Ndola,M4814,D9471,No
T00016,2024-03-30,00:19:50,260914319527,260996426448,278.93,Deposit,Ndola,M3271,D5368,No
T00017,2024-06-15,09:00:18,260973818396,260995966436,4690.74,Deposit,Kitwe,M3677,D9542,No
T00018,2024-04-23,05:35:18,260991336222,260955799590,4849.67,Withdrawal,Lusaka,M2714,D6665,No
T00019,2024-02-05,03:23:11,260935791112,260999644439,225.4,Withdrawal,Lusaka,M8953,D7681,No
T00020,2024-04-16,12:18:20,260922058760,260926038689,3750.98,Transfer,Lusaka,M4422,D9024,No
T00021,2024-03-26,11:17:25,260943572024,260991957547,295.86,Deposit,Lusaka,M7938,D6272,No
T00022,2024-03-01,07:22:59,260933967603,260996033419,3972.77,Deposit,Livingstone,M3533,D4297,No
T00023,2024-02-14,01:13:29,260953365835,260937826059,2602.19,Deposit,Ndola,M5139,D2525,No
T00024,2024-02-10,01:21:43,260979850491,260971272267,1645.4,Deposit,Kitwe,M1784,D2635,No
T00025,2024-01-10,20:20:14,260978628236,260928352636,4712.68,Transfer,Lusaka,M6338,D3688,No
